;0;4;0.04;5.255272;0.120913
1;1;13;0.13;6.005493;0.138174
2;2;16;0.16;6.645409;0.152897
3;3;18;0.18;7.117946;0.163769
4;4;23;0.23;8.356488;0.192266
5;5;18;0.18;6.67415;0.153558
6;6;7;0.07;3.145078;0.072362
7;7;1;0.01;0.263437;0.006061
